Name,Location,Locality,City,Cuisine,Rating,Votes,Cost,popularity_score
Astoria Veg,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"South Indian,  North Indian,  Chinese",4.6,363,500,39.135855344914
Amelie's,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"Continental,  Desserts,  Drinks",4.5,170,1000,33.38033631698654
Hub At ECR,"Vettuvankeni, South Chennai", South Chennai,Chennai,"Continental,  North Indian,  Italian,  Seafood,  Fusion",4.3,173,2100,32.00465703214953
Tosai club,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Continental,  South Indian,  Italian,  Mughlai",4.1,112,800,27.962733745902266
Dindigul Thalappakatti,"Vettuvankeni, South Chennai", South Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.2,20,700,18.447733175670795
Flower Drum,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"Chinese,  Thai",4.3,77,1000,27.02722954110767
Spice Roots,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"South Indian,  North Indian",3.6,40,800,19.287187216625103
ABs - Absolute Barbecues,"Chromepet, South West Chennai", South West Chennai,Chennai,"North Indian,  Barbecue",4.2,334,1400,35.22967259844957
Big Hit Lounge,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"Chinese,  Continental,  North Indian",3.9,56,1000,22.74827105524249
Dindigul Thalappakatti,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.2,59,700,24.808940501555778
Big Hit Restaurant,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",3.7,338,1200,31.099023413604474
Palmshore,"Medavakkam, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  Seafood",4.4,35,1000,22.747670006346176
Cake Waves,"Pallavaram, South West Chennai", South West Chennai,Chennai,"Desserts,  Bakery and Confectionary,  Fast Food",1.0,1,400,1.0
Dindigul Thalappakatti,"Ambattur, North Chennai", North Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",3.7,5,700,9.564361252668277
Dindigul Thalappakatti,"Medavakkam, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.3,28,700,20.88931827904856
Le Wrap Factorie,"Medavakkam, South West Chennai", South West Chennai,Chennai,Fast Food,4.5,2,400,7.132331253245202
Express By AB's,"Chromepet, South West Chennai", South West Chennai,Chennai,"North Indian,  Barbecue",5.0,1,700,5.0
Orange Wok,"Chromepet, South West Chennai", South West Chennai,Chennai,"Asian,  Chinese,  Thai,  Seafood,  Malaysian",4.2,34,1000,21.54298867116886
Spicezen - Absolute Veg Restaurant,"Chromepet, South West Chennai", South West Chennai,Chennai,"North Indian,  Street Food,  Fast Food",4.4,4,600,10.216483617504394
AGS Restaurant,"Medavakkam, South West Chennai", South West Chennai,Chennai,"North Indian,  South Indian,  Chinese,  Seafood",3.6,12,700,13.321582985307932
Delhi Highway,"Citadines,Sholinganallur, South West Chennai", South West Chennai,Chennai,North Indian,4.2,151,1200,30.44129555646306
